sr.no,VehicleNo
1,RJ06GD6726
2,RJ06GD1748
3,RJ06GD5343
4,RJ06GD5348
5,UP85ET7845
6,UP85ET7863
7,UP85FT2575
8,UP85FT2588
9,UP85AG0751
10,UP85AG0753
11,UP85AG0754
12,UP85AG0758
13,UP85AG0768
14,UP85AG0769
15,UP85AG0771
16,UP85AG0772
17,UP85AG0788
18,UP85AG0790
19,UP85AG0791
20,UP85AG0792
21,UP85AG0794
22,UP85AG0797
23,UP85AG0801
24,UP85AG0884
25,UP85AG0888
26,UP85AG0890
27,UP85AG0891
28,UP85AG0720
29,UP85AG0970
30,UP85AG26941
31,UP85AG0665
32,UP85AG0767
33,UP14KT5415
34,DL51EV0233
35,DL51GD9539
36,UP14PT7727
37,UP14PT7751
38,UP14PT7936
39,UP14PT7997
40,UP14PT7998
41,UP14PT8096
42,UP14PT8097
43,UP14PT8105
44,UP85ET7835
45,UP85ET7861
46,UP14PT7999
47,UP14KT5688
48,DL51EV9425
49,UP85AG0912
50,UP85AG0914
51,UP14MT7636
52,UP85ET7833
53,UP85ET7842
54,TMP0026943
55,UP85AG0664
56,UP85AG0666
57,UP85AG0671
58,UP85AG0672
59,UP85AG0673
60,UP85AG0678
61,UP85AG0684
62,UP85AG0764
63,UP85AG0766
64,UP85AG0773
65,UP85AG0775
66,UP85AG0776
67,UP85AG0793
68,UP85AG0802
69,UP85AG0889
70,UP85AG0872
71,UP85DT1206
72,UP85AG0951
73,UP85AG0953
74,UP85AG0786
75,UP85AG0716
76,UP85AG0717
77,UP85AG0718
78,UP85AG0719
79,RJ06GD6750
80,UP14PT7720
81,UP14PT7948
82,UP85ET7858
83,DL51EV0215
84,UP85AG0774
85,UP14PT7724
86,UP14PT7726
87,UP14PT7747
88,UP85AG0950
89,RJ06GD6728
90,UP16EF4980
91,DL51GD9113
92,DL51GD9401
93,DL51GD9528
94,DL51EV0260
95,DL51EV0265
96,DL51EV0209
97,DL51GD0277
98,DL51GD9441
99,DL51GD9456
100,DL51GD9464
101,DL51GD9465
102,DL51GD9569
103,DL51GD9579
104,DL5TGD9454
105,UP16RT3801
106,UP16RT3802
107,UP16RT3803
108,UP16RT3804
109,UP16RT3805
110,UP16RT3806
111,UP16RT3807
112,UP16RT3808
113,UP16RT3810
114,UP16RT3811
115,UP16RT3813
116,UP16RT3814
117,UP16RT3815
118,UP16RT3816
119,UP16RT3817
120,UP16RT3818
121,UP16RT3819
122,UP16RT3820
123,UP16RT3821
124,UP16RT3822
125,UP16RT3825
126,UP16RT3826
127,UP16RT3827
128,UP16RT3828
129,UP16RT3829
130,UP16RT3830
131,UP16RT3831
132,UP16RT3832
133,UP16RT3833
134,UP16RT3834
135,UP16RT3849
136,UP16RT3850
137,UP16RT3851
138,UP16RT3852
139,UP16RT3853
140,UP16RT3854
141,UP16RT3855
142,UP16RT3856
143,UP16RT3857
144,UP16RT3858
145,UP16RT3862
146,UP16RT3863
147,UP16RT3978
148,UP16RT3979
149,UP16RT3980
150,UP16RT3981
151,UP16RT3982
152,UP16RT3983
153,UP16RT3984
154,UP16RT3985
155,RJ06GD1770
156,RJ06GD5309
157,UP14MT7638
158,UP14NT1038
159,UP14PT7714
160,UP14PT7717
161,UP14PT7718
162,UP14PT7719
163,UP14PT7728
164,UP14PT7749
165,UP14PT7750
166,UP14PT7752
167,UP14PT7753
168,UP14PT7754
169,UP14PT7945
170,UP14PT7946
171,UP14PT7949
172,UP14PT7950
173,UP14PT7951
174,UP14PT7952
175,UP14PT7993
176,UP14PT7996
177,UP14PT8010
178,UP14PT8095
179,UP14PT8106
180,UP14PT8107
181,UP85ET7830
182,UP85ET7831
183,UP85ET7832
184,UP85ET7834
185,UP85ET7836
186,UP85ET7837
187,UP85ET7838
188,UP85ET7839
189,UP85ET7840
190,UP85ET7841
191,UP85ET7843
192,UP85ET7844
193,UP85ET7846
194,UP85ET7847
195,UP85ET7848
196,UP85ET7849
197,UP85ET7850
198,UP85ET7851
199,UP85ET7852
200,UP85ET7853
201,UP85ET7854
202,UP85ET7855
203,UP85ET7856
204,UP85ET7857
205,UP85ET7859
206,UP85ET7862
207,UP85ET7864
208,UP85ET7866
209,UP85ET7867
210,UP85FT2574
211,UP85FT2577
212,UP85FT2579
